파일이름	Subtitle	Machine Translation	Time	분	초
김씨네편의점_season01_01.xlsx	Mr. Kim, are you homophobic? Roger.	김 선생님, 혹시 동성애 혐오자이신가요? 로저.	1:05	1	05
김씨네편의점_season01_01.xlsx	-What word you using? -Homophobic, Mr. Kim.	-어떤 단어를 사용해요? -동성애 혐오자, 김 선생님.	1:09	1	09
김씨네편의점_season01_01.xlsx	This is discrimination against "the homos."	이것은 "호모"에 대한 차별입니다.	1:11	1	11
김씨네편의점_season01_01.xlsx	And it's a hate crime, and I'm gonna report it.	그리고 혐오 범죄이며, 저는 신고할 겁니다.	1:14	1	14
김씨네편의점_season01_01.xlsx	-What? -Roger...	-뭐라고? -로저...	1:15	1	15
김씨네편의점_season01_01.xlsx	-What you report? -Hey! Look, look, look.	-뭐가 뭔데요? -이봐! 봐봐, 봐봐.	1:17	1	17
김씨네편의점_season01_01.xlsx	I'm not homo...	나는 게이가 아니야...	1:20	1	20
김씨네편의점_season01_01.xlsx	-...homopebek. -Uh-huh.	-...호모페벡. -음.	1:22	1	22
김씨네편의점_season01_01.xlsx	If I am homo...	만약 내가 게이라면,	1:23	1	23
김씨네편의점_season01_01.xlsx	homopeebeek, then why I,	호모페비크라면, 왜 내가,	1:25	1	25
김씨네편의점_season01_01.xlsx	why do I give a Gay Discount, mmm?	왜 내가 게이 할인을 줘, 음?	1:30	1	30
김씨네편의점_season01_01.xlsx	-Sorry? -Yeah.	-뭐라고요? -네.	1:33	1	33
김씨네편의점_season01_01.xlsx	If I am homo, homopobok, then why I having Gay Discount?	만약 내가 게이, 호모포빅이라면, 왜 내가 게이 할인을 제공하는데?	1:35	1	35
김씨네편의점_season01_01.xlsx	15% Gay Discount only for the Gay Pride Week.	15% 게이 할인은 게이 프라이드 주간에만 제공됩니다.	1:40	1	40
김씨네편의점_season01_01.xlsx	So. how much would this be?	그래서 얼마인가요?	1:45	1	45
김씨네편의점_season01_01.xlsx	Regular, $2, but for you, with gay discount, $1.70.	정상가, $2, 하지만 당신을 위해, 게이 할인으로 $1.70입니다.	1:49	1	49
김씨네편의점_season01_01.xlsx	And how do you know if someone is gay?	그리고 누가 게이인지 어떻게 아나요?	1:54	1	54
김씨네편의점_season01_01.xlsx	I can tell.	나는 알 수 있어요.	1:56	1	56
김씨네편의점_season01_01.xlsx	-You have gaydar, Mr. Kim? -Yah.	-당신은 게이다르가 있나요, 김 씨? -네.	1:59	1	59
김씨네편의점_season01_01.xlsx	I have gaydar. 100% guarantee.	나는 게이다르가 있어요. 100% 보장합니다.	2:01	2	01
김씨네편의점_season01_01.xlsx	Ah. Well, we'll be sure to spread the word. And the poster?	아. 그럼, 우리는 소문을 퍼뜨릴게요. 그리고 포스터는?	2:05	2	05
김씨네편의점_season01_01.xlsx	You can do better.	더 잘할 수 있어요.	2:10	2	10
김씨네편의점_season01_01.xlsx	(Theme song plays)	(주제가 연주됨)	2:13	2	13
김씨네편의점_season01_01.xlsx	Appa, I have a shoot for school this weekend.	아빠, 이번 주말에 학교 촬영이 있어요.	2:43	2	43
김씨네편의점_season01_01.xlsx	I was wondering if I can borrow the van.	밴을 빌릴 수 있을까 해서요.	2:45	2	45
김씨네편의점_season01_01.xlsx	What happen to, "Good morning Appa,"	"안녕하세요 아빠,"는 어떻게 됐어요?	2:46	2	46
김씨네편의점_season01_01.xlsx	"Umma, you look pretty today."	"엄마, 오늘 예쁘세요."	2:48	2	48
김씨네편의점_season01_01.xlsx	-Thank you, Appa. -That from Janet.	-감사합니다, 아빠. -그건 자넷이 한 말이에요.	2:50	2	50
김씨네편의점_season01_01.xlsx	Oh. Thank you, Janet. But I say.	오. 감사합니다, 자넷. 하지만 나는 말해요.	2:52	2	52
김씨네편의점_season01_01.xlsx	You do look pretty Umma, and can I have the van?	엄마, 정말 예쁘세요, 그리고 밴을 빌릴 수 있을까요?	2:54	2	54
김씨네편의점_season01_01.xlsx	-No. -But Appa,	-싫어. -아빠,	2:57	2	57
김씨네편의점_season01_01.xlsx	-I only need it for one... -Stop.	-한 번만... -그만.	2:58	2	58
김씨네편의점_season01_01.xlsx	One second.	잠깐만.	3:00	3	00
김씨네편의점_season01_01.xlsx	And he's not coming back.	그리고 그는 다시는 안 돌아올 거예요.	3:07	3	07
김씨네편의점_season01_01.xlsx	-Janet. -What?	-제니. -왜?	3:08	3	08
김씨네편의점_season01_01.xlsx	You coming church Sunday?	이번 주 일요일 교회 가?	3:10	3	10
김씨네편의점_season01_01.xlsx	You know, church is not only for worship the Jesus.	알다시피, 교회는 예수님을 예배하는 곳만이 아니야.	3:13	3	13
김씨네편의점_season01_01.xlsx	Lots of side benefit too.	부수적인 이점도 많아.	3:15	3	15
김씨네편의점_season01_01.xlsx	You can make a lot of friends at church.	교회에서 많은 친구를 사귈 수 있어.	3:18	3	18
김씨네편의점_season01_01.xlsx	Friend who is girl. Friend who is not girl.	여자 친구도 있고, 남자 친구도 있고.	3:21	3	21
김씨네편의점_season01_01.xlsx	Umma, I'm not going to church to hook up with guys.	엄마, 저는 남자들과 어울리려고 교회 가는 게 아니에요.	3:24	3	24
김씨네편의점_season01_01.xlsx	Not hook up, hook around.	어울리는 게 아니라, 주변을 둘러보는 거죠.	3:26	3	26
김씨네편의점_season01_01.xlsx	Look, new church directory.	봐, 새 교회 안내서.	3:30	3	30
김씨네편의점_season01_01.xlsx	So many boys to choose from. Oh.	선택할 남자애들 엄청 많잖아. 어머.	3:33	3	33
김씨네편의점_season01_01.xlsx	Mr. Soon's nephew, Georgie.	순 씨 조카, 조지.	3:36	3	36
김씨네편의점_season01_01.xlsx	He is captain of church frisbee team.	그 교회 프리스비 팀 주장이야.	3:39	3	39
김씨네편의점_season01_01.xlsx	Umma, I don't need your help finding a boyfriend.	엄마, 내가 남자친구 찾는 거 엄마 도움 안 필요해.	3:41	3	41
김씨네편의점_season01_01.xlsx	Yah. Then where is you cool Christian Korean boyfriend?	야. 그럼 네 멋진 크리스천 한국 남자친구는 어디 있어?	3:44	3	44
김씨네편의점_season01_01.xlsx	Okay, first of all, there's no such thing	좋아, 우선 그런 건 없어.	3:46	3	46
김씨네편의점_season01_01.xlsx	as a "Cool Christian Korean Boy."	"멋진 기독교 한국 남자"는 존재하지 않아.	3:48	3	48
김씨네편의점_season01_01.xlsx	-They don't exist. -(SCOFFS) What you talking?	-그런 애들은 없어. -(비웃음) 무슨 소리야?	3:50	3	50
김씨네편의점_season01_01.xlsx	If they're cool and Christian, they're not Korean.	그들이 멋지고 기독교인이라면, 한국인이 아니야.	3:51	3	51
김씨네편의점_season01_01.xlsx	And if they're cool and Korean, they're not Christian. And if they're cool,	그리고 그들이 멋지고 한국인이라면, 기독교인이 아니야. 그리고 만약 그들이 멋지고,	3:53	3	53
김씨네편의점_season01_01.xlsx	Christian and Korean, they're girls.	기독교인이고 한국인이라면, 그들은 여자야.	3:56	3	56
김씨네편의점_season01_01.xlsx	Jung is cool, Christian, and Korean. Is he girl?	정은 멋지고, 크리스천이고, 한국인이에요. 그 남자애 여자애인가요?	3:59	3	59
김씨네편의점_season01_01.xlsx	So, you're suggesting I date my brother?	그럼, 네가 내 오빠와 데이트하라고 제안하는 거야?	4:01	4	01
김씨네편의점_season01_01.xlsx	No.	아니.	4:03	4	03
김씨네편의점_season01_01.xlsx	Look, Janet, when I was you age,	봐, 자넷, 내가 너 나이였을 때,	4:05	4	05
김씨네편의점_season01_01.xlsx	I go to church, find the Jesus,	교회에 가서 예수를 찾고,	4:08	4	08
김씨네편의점_season01_01.xlsx	find cool Christian Korean boy and we hook around.	멋진 기독교인 한국 남자애를 찾아서 사귄다.	4:10	4	10
김씨네편의점_season01_01.xlsx	Umma, please don't say "hook around."	엄마, 제발 "사귀다"라고 말하지 마.	4:14	4	14
김씨네편의점_season01_01.xlsx	It doesn't sound so good.	그건 그렇게 좋게 들리지 않아.	4:15	4	15
김씨네편의점_season01_01.xlsx	If I not hook around with you Appa,	내가 너 아빠와 사귀지 않았다면,	4:17	4	17
김씨네편의점_season01_01.xlsx	you is not be born. -Bye, Umma.	너는 태어나지 않았을 거야. -잘가, 엄마.	4:19	4	19
김씨네편의점_season01_01.xlsx	I was told you were supporting gay pride	너가 게이 프라이드를 지지한다고 들었어	4:34	4	34
김씨네편의점_season01_01.xlsx	and had a 50% discount or something like that? Is that true?	그리고 50% 할인 같은 게 있다고? 그게 사실이야?	4:36	4	36
김씨네편의점_season01_01.xlsx	What?	뭐?	4:39	4	39
김씨네편의점_season01_01.xlsx	You having a 50% discount or something like that?	너가 50% 할인 같은 게 있다고?	4:41	4	41
김씨네편의점_season01_01.xlsx	-Is that true? -15%.	-그게 사실이야? -15%.	4:43	4	43
김씨네편의점_season01_01.xlsx	And keep talking to end of sentence.	그리고 문장이 끝날 때까지 계속 이야기해.	4:46	4	46
김씨네편의점_season01_01.xlsx	My bad. Sorry. (LAUGHS)	내 잘못이야. 미안. (웃음)	4:47	4	47
김씨네편의점_season01_01.xlsx	15% discount, true?	15% 할인, 맞아?	4:50	4	50
김씨네편의점_season01_01.xlsx	Yah, only for the gay.	야, 오직 게이만을 위한 거야.	4:52	4	52
김씨네편의점_season01_01.xlsx	Twenty-six fifty. You want bag?	26.50달러야. 가방 필요해?	4:54	4	54
김씨네편의점_season01_01.xlsx	No, you want bag?	아니, 가방 필요해?	4:59	4	59
김씨네편의점_season01_01.xlsx	Uh, yes, I do want a bag but,	어, 응, 가방 필요해, 그런데,	5:01	5	01
김씨네편의점_season01_01.xlsx	why, why not I get the gay discount?	왜, 왜 나는 게이 할인을 받을 수 없는 거야?	5:03	5	03
김씨네편의점_season01_01.xlsx	It's only for the gay.	그건 오직 게이만을 위한 거야.	5:05	5	05
김씨네편의점_season01_01.xlsx	You is not the gay.	너는 게이가 아니야.	5:06	5	06
김씨네편의점_season01_01.xlsx	Hello.	안녕하세요.	5:08	5	08
김씨네편의점_season01_01.xlsx	I am not the gay? I am so the gay.	나는 게이가 아니라고? 나는 정말 게이야.	5:09	5	09
김씨네편의점_season01_01.xlsx	People tell me I am too gay sometimes.	사람들이 나에게 가끔 너무 게이라고 말해.	5:13	5	13
김씨네편의점_season01_01.xlsx	You is only pretend.	너는 그냥 흉내내는 것뿐이야.	5:15	5	15
김씨네편의점_season01_01.xlsx	100% guarantee not gay.	100% 보장해, 게이가 아니야.	5:18	5	18
김씨네편의점_season01_01.xlsx	This is not over.	이건 끝난 게 아니야.	5:22	5	22
김씨네편의점_season01_01.xlsx	This is not even the start of it being not over.	이게 끝나지 않았다는 것의 시작조차 아니야.	5:26	5	26
김씨네편의점_season01_01.xlsx	Okay. See you.	알았어. 다음에 봐.	5:30	5	30
김씨네편의점_season01_01.xlsx	MAN: Pick it up.	남자: 챙겨.	5:42	5	42
김씨네편의점_season01_01.xlsx	You pick it up.	네가 챙겨.	5:43	5	43
김씨네편의점_season01_01.xlsx	How do you know it's dead? Buddy.	어떻게 죽었다는 걸 알아? 친구.	5:45	5	45
김씨네편의점_season01_01.xlsx	-JANET: Hey. -Hey.	-제인: 야. -야.	5:49	5	49
김씨네편의점_season01_01.xlsx	What are you guys doing?	너희들 뭐 하고 있어?	5:50	5	50
김씨네편의점_season01_01.xlsx	Your brother's about to clean a car.	네 오빠가 차를 청소하려 하고 있어.	5:52	5	52
김씨네편의점_season01_01.xlsx	You guys gettin' lunch or something?	너희들 점심 먹으러 가는 거야, 뭐 그런 거?	5:53	5	53
김씨네편의점_season01_01.xlsx	-I don't know, are we? -Mmm.	-몰라, 우리 그래?	5:54	5	54
김씨네편의점_season01_01.xlsx	My treat as long as you use your employee family discount thingy	네가 직원 가족 할인 그 뭐시기 그걸 이용해서 내 차를 사주는 동안 내가 쏠게.	5:57	5	57
김씨네편의점_season01_01.xlsx	to get me a car.	차를 사 줘.	6:00	6	00
김씨네편의점_season01_01.xlsx	What's wrong with Appa's van?	아빠 밴이 왜 안 좋아?	6:01	6	01
김씨네편의점_season01_01.xlsx	More like, "What's wrong with Appa?"	오히려 "아빠가 뭐가 문제인데?"라고 해야지.	6:02	6	02
김씨네편의점_season01_01.xlsx	I'm twenty and he still won't let me drive the van.	스무 살인데 아직도 밴을 못 몰게 하셔.	6:04	6	04
김씨네편의점_season01_01.xlsx	I drove the van when I was thirteen.	나는 열세 살 때 밴을 운전했었어.	6:05	6	05
김씨네편의점_season01_01.xlsx	You stole the van when you were thirteen.	네가 열세 살 때 밴을 훔쳤지.	6:07	6	07
김씨네편의점_season01_01.xlsx	No. We stole the van when you were thirteen.	아니. 우리가 너가 열세 살 때 밴을 훔쳤지.	6:08	6	08
김씨네편의점_season01_01.xlsx	Technically if your family owns it, it's not stealing.	기술적으로 네 가족이 소유하고 있다면, 도둑질이 아니야.	6:11	6	11
김씨네편의점_season01_01.xlsx	So, can you get me a rental?	그럼, 나한테 렌트카를 빌려줄 수 있어?	6:13	6	13
김씨네편의점_season01_01.xlsx	Depends. Where you gonna wine and dine me?	상황에 따라 다르지. 어디서 나를 대접할 건데?	6:15	6	15
김씨네편의점_season01_01.xlsx	Come on, you owe me.	제발, 너 나한테 빚이 있어.	6:17	6	17
김씨네편의점_season01_01.xlsx	For what?	뭘로?	6:19	6	19
김씨네편의점_season01_01.xlsx	I'm seriously over-parented because you're not around.	너가 없어서 난 정말 과잉 보호받고 있어.	6:21	6	21
김씨네편의점_season01_01.xlsx	Hey, I still get more than my fair share from Umma.	그래도 난 엄마한테서 내 몫 이상으로 받고 있어.	6:23	6	23
김씨네편의점_season01_01.xlsx	Yah, but when's the last time you talked to Appa?	근데 마지막으로 아빠와 언제 이야기했어?	6:25	6	25
김씨네편의점_season01_01.xlsx	When's the last time he talked to me?	마지막으로 아빠가 나랑 언제 얘기했어?	6:28	6	28
김씨네편의점_season01_01.xlsx	So you're never going to talk to him again?	그럼 다시는 그와 이야기하지 않을 거야?	6:30	6	30
김씨네편의점_season01_01.xlsx	It's workin' so far.	지금까지는 잘 되고 있어.	6:31	6	31
김씨네편의점_season01_01.xlsx	Hey, I just got a strange call...	야, 방금 이상한 전화를 받았어...	6:32	6	32
김씨네편의점_season01_01.xlsx	Who's this?	누구야?	6:36	6	36
김씨네편의점_season01_01.xlsx	This is my sister Janet.	내 여동생 자넷이야.	6:37	6	37
김씨네편의점_season01_01.xlsx	She's taking me to lunch.	그녀가 나를 점심에 데려가고 있어요.	6:40	6	40
김씨네편의점_season01_01.xlsx	Sister. Hi, Janet. I'm Shannon, Jung's manager.	여동생. 안녕, 자넷. 나는 샤넌, 정의 매니저예요.	6:41	6	41
김씨네편의점_season01_01.xlsx	And, I like to think, friend.	그리고, 친구라고 생각하고 싶어요.	6:45	6	45
김씨네편의점_season01_01.xlsx	And as a friend, I should tell you the manager,	친구로서, 당신에게 말해야 할 게 있어요.	6:47	6	47
김씨네편의점_season01_01.xlsx	would say it's employees only back here.	매니저는 여기는 직원만 출입 가능하다고 할 거예요.	6:50	6	50
김씨네편의점_season01_01.xlsx	I get it. Sorry.	알겠어요. 미안해요.	6:52	6	52
김씨네편의점_season01_01.xlsx	I know it must be hard for two people	내가 알기로는 두 사람에게는 힘들겠지	6:54	6	54
김씨네편의점_season01_01.xlsx	who grew up in the inner city and are rebellious by nature,	내면의 도시에서 자라 본질적으로 반항적인	6:56	6	56
김씨네편의점_season01_01.xlsx	but rules are rules. Understood?	하지만 규칙은 규칙이에요. 이해했죠?	7:00	7	00
김씨네편의점_season01_01.xlsx	-Understood. -Good.	-이해했습니다. -좋아요.	7:03	7	03
김씨네편의점_season01_01.xlsx	Understood.	이해했습니다.	7:05	7	05
김씨네편의점_season01_01.xlsx	"Understood In the hood."	"이해했습니다, 동네에서."	7:08	7	08
김씨네편의점_season01_01.xlsx	Okay, very nice to meet you.	좋아요, 만나서 정말 반가워요.	7:11	7	11
김씨네편의점_season01_01.xlsx	Oh, and the strange call.	아, 그리고 그 이상한 전화.	7:14	7	14
김씨네편의점_season01_01.xlsx	A woman asked, if we'd seen her pet ferret.	한 여자가 우리 애완 페럿을 본 적이 있는지 물어봤어요.	7:17	7	17
김씨네편의점_season01_01.xlsx	Okay.	좋아요.	7:21	7	21
김씨네편의점_season01_01.xlsx	And look what the cat drag in. Oh, Mr. Chin.	그리고 고양이가 끌고 온 것 좀 봐요. 오, 친 씨.	7:26	7	26
김씨네편의점_season01_01.xlsx	How's it going? Can't complain.	어떻게 지내세요? 불평할 게 없어요.	7:29	7	29
김씨네편의점_season01_01.xlsx	How's you business?	당신 사업은 어때?	7:32	7	32
김씨네편의점_season01_01.xlsx	Which one?	어떤 거?	7:33	7	33
김씨네편의점_season01_01.xlsx	(BOTH LAUGHS)	(둘 다 웃음)	7:34	7	34
김씨네편의점_season01_01.xlsx	Kidding aside, Mr. Kim,	농담은 치워두고, 김 씨,	7:35	7	35
김씨네편의점_season01_01.xlsx	business has never been better.	사업은 그 어느 때보다 번창했어요.	7:37	7	37
김씨네편의점_season01_01.xlsx	Gay Pride week very busy.	게이 프라이드 주간이라 아주 바빴어요.	7:40	7	40
김씨네편의점_season01_01.xlsx	Yah, me too.	나도 그래.	7:42	7	42
김씨네편의점_season01_01.xlsx	They are good for business. Hmm.	그들은 사업에 도움이 돼. 음.	7:44	7	44
김씨네편의점_season01_01.xlsx	No gay in sight.	게이 같은 사람은 안 보이네.	7:48	7	48
김씨네편의점_season01_01.xlsx	Where they all come from?	다 어디서 났어?	7:50	7	50
김씨네편의점_season01_01.xlsx	Immigration? Refugee?	이민? 난민?	7:51	7	51
김씨네편의점_season01_01.xlsx	It's more popular now.	요즘 더 인기 많아졌어.	7:53	7	53
김씨네편의점_season01_01.xlsx	Everybody switch side.	다 생각이 바뀌었어.	7:55	7	55
김씨네편의점_season01_01.xlsx	Man becoming woman,	남자가 여자처럼 되고,	7:57	7	57
김씨네편의점_season01_01.xlsx	woman dressing like man who like woman...	여자가 여자를 좋아하는 남자를 닮아서...	7:59	7	59
김씨네편의점_season01_01.xlsx	And so confusing.	정말 혼란스럽네.	8:01	8	01
김씨네편의점_season01_01.xlsx	For example, if a gay man discover he is transsexual. Yah.	예를 들어, 게이 남자가 자신이 트랜스젠더라는 걸 발견한다면. 그래.	8:04	8	04
김씨네편의점_season01_01.xlsx	Then if he has sex change and becomes a woman.	그럼 성전환 수술을 받고 여자가 된다면,	8:08	8	08
김씨네편의점_season01_01.xlsx	-Okay. -Then discover,	-알았어. -그러면 발견하게 되는데,	8:10	8	10
김씨네편의점_season01_01.xlsx	she is actually transgender...	사실 자신이 트랜스젠더라는 걸...	8:12	8	12
김씨네편의점_season01_01.xlsx	Wait.	잠깐만.	8:14	8	14
김씨네편의점_season01_01.xlsx	What's difference between transgender and transexual?	트랜스젠더와 트랜스섹슈얼의 차이는 뭐죠?	8:16	8	16
김씨네편의점_season01_01.xlsx	Hmm. I don't know, Mr. Kim.	음. 잘 모르겠어요, 김 선생님.	8:20	8	20
김씨네편의점_season01_01.xlsx	What is the difference between a transgender	트랜스젠더와	8:22	8	22
김씨네편의점_season01_01.xlsx	and a transsexual?	트랜스섹슈얼의 차이는 뭐죠?	8:24	8	24
김씨네편의점_season01_01.xlsx	No, is not a joke, Mr. Chin.	아니, 농담이 아니에요, 진 선생님.	8:25	8	25
김씨네편의점_season01_01.xlsx	I'm ask you real question. I don't know.	진짜 질문을 드려요. 모르겠어요.	8:28	8	28
김씨네편의점_season01_01.xlsx	Excuse me.	실례합니다.	8:30	8	30
김씨네편의점_season01_01.xlsx	The word on the street is you having 15 percent discount, for true?	소문에 따르면 15% 할인을 하고 있다고 들었는데, 사실인가요?	8:32	8	32
김씨네편의점_season01_01.xlsx	What?	뭐라고?	8:34	8	34
김씨네편의점_season01_01.xlsx	What what?	뭐 뭐라고?	8:36	8	36
김씨네편의점_season01_01.xlsx	No. Sorry, I don't,	아니요. 죄송하지만,	8:37	8	37
김씨네편의점_season01_01.xlsx	I can't catch hear what you talking.	무슨 말인지 잘 못 들었어요.	8:40	8	40
김씨네편의점_season01_01.xlsx	What I talkin'?	내가 무슨 말을 하는 거야?	8:41	8	41
김씨네편의점_season01_01.xlsx	No one can understand what you both talking about it!	여러분은 무슨 얘기를 하는지 아무도 이해 못 하잖아요!	8:43	8	43
김씨네편의점_season01_01.xlsx	Lord have mercy!	주여, 저희를 불쌍히 여기소서!	8:48	8	48
김씨네편의점_season01_01.xlsx	Me just want to know if the 15 percent discount be true?	15퍼센트 할인 진짜예요?	8:49	8	49
김씨네편의점_season01_01.xlsx	Yah, it's true but only for the gay.	응, 진짜인데 게이만 해당돼.	8:53	8	53
김씨네편의점_season01_01.xlsx	What? That's illegal. Anti- straight.	뭐? 그거 불법이야. 스트레이트 혐오적이야.	8:56	8	56
김씨네편의점_season01_01.xlsx	Well, when's me get ME discount then?	그럼 내가 언제 할인 받지?	8:59	8	59
김씨네편의점_season01_01.xlsx	Black History Discount Month.	흑인 역사 할인 Month.	9:05	9	05
김씨네편의점_season01_01.xlsx	That's the shortest month of the year.	일 년 중에 제일 짧은 달이잖아.	9:07	9	07
김씨네편의점_season01_01.xlsx	But it's longer during leap year.	하지만 윤년에는 더 길어.	9:09	9	09
김씨네편의점_season01_01.xlsx	So, take full advantage.	그러니까 최대한 활용해.	9:11	9	11
김씨네편의점_season01_01.xlsx	Oh, I'm sorry. I didn't see you come in.	아, 죄송해요. 손님이 들어오시는 걸 못 봤네요.	9:26	9	26
김씨네편의점_season01_01.xlsx	It's okay. Just wanted to drop off my resume.	괜찮아요. 이력서만 놓고 가려고요.	9:28	9	28
김씨네편의점_season01_01.xlsx	-(DOOR OPENS) -Hi, I'm here about the job.	-(문 열림) -안녕하세요, 일하러 왔어요.	9:31	9	31
김씨네편의점_season01_01.xlsx	-Oh. Um, -Here we go.	-어. 음, -자, 갑시다.	9:34	9	34
김씨네편의점_season01_01.xlsx	Sorry, I think there's a misunderstanding.	죄송한데, 오해인 것 같아요.	9:36	9	36
김씨네편의점_season01_01.xlsx	We're not looking for any help.	우리는 도움이 필요 없어요.	9:38	9	38
김씨네편의점_season01_01.xlsx	Yes, we is.	우리는 필요해요.	9:40	9	40
김씨네편의점_season01_01.xlsx	Hi, hi, good to see you both. Mmm.	안녕하세요, 두 분 반가워요. 음.	9:42	9	42
김씨네편의점_season01_01.xlsx	First question, very important for job.	첫 번째 질문인데, 일에 아주 중요해요.	9:48	9	48
김씨네편의점_season01_01.xlsx	Umma, you can't ask that.	엄마, 그건 물어볼 수 없어요.	9:52	9	52
김씨네편의점_season01_01.xlsx	No, that's okay. I don't mind.	아니요, 괜찮아요. 신경 안 써요.	9:54	9	54
김씨네편의점_season01_01.xlsx	Yes, I do go to church.	네, 교회 가요.	9:55	9	55
김씨네편의점_season01_01.xlsx	That's where I saw your ad.	그 광고를 어디서 봤어요.	9:57	9	57
김씨네편의점_season01_01.xlsx	Me too.	저도요.	9:58	9	58
김씨네편의점_season01_01.xlsx	-What ad? -Good.	-어떤 광고? -좋네요.	10:00	10	00
김씨네편의점_season01_01.xlsx	-Cool, Christian, Korean... -Oh my God!	-멋지다, 크리스천, 한국인... -맙소사!	10:02	10	02
김씨네편의점_season01_01.xlsx	I'm so sorry about this.	정말 죄송해요.	10:06	10	06
김씨네편의점_season01_01.xlsx	Just wait. Janet. Janet!	잠깐만요. 재닛. 재닛!	10:09	10	09
김씨네편의점_season01_01.xlsx	-Janet! -What?	-재닛! -뭐?	10:13	10	13
김씨네편의점_season01_01.xlsx	You don't even trying.	전혀 노력도 안 하고 있어요.	10:14	10	14
김씨네편의점_season01_01.xlsx	If you don't mingle, you stay single.	어울리지 않으면 혼자 남아요.	10:16	10	16
김씨네편의점_season01_01.xlsx	Do these guys know that I'm the job?	이 사람들이 내가 그 일에 뽑힐 거라고 아는 걸까요?	10:18	10	18
김씨네편의점_season01_01.xlsx	You should say thank you.	고맙다고 말해야 해요.	10:19	10	19
김씨네편의점_season01_01.xlsx	You don't know yet, but Umma doing you big favor.	아직 모르겠지만, 엄마가 너에게 큰 도움을 주고 있어.	10:21	10	21
김씨네편의점_season01_01.xlsx	Hey! What's happen?	야! 무슨 일이야?	10:23	10	23
김씨네편의점_season01_01.xlsx	Oh the usual. Umma's ruining my life.	늘 그렇듯이. 엄마가 내 인생을 망치고 있네.	10:25	10	25
김씨네편의점_season01_01.xlsx	What you doing?	뭐 하고 있어요?	10:27	10	27
김씨네편의점_season01_01.xlsx	-Helping find boyfriend. -Aeeshcham!	-남자친구 찾도록 도와주고 있어. -아이씨!	10:28	10	28
김씨네편의점_season01_01.xlsx	Janet is not a baby anymore.	재닛은 더 이상 아기가 아니야.	10:30	10	30
